location,new_deaths,total_vaccinations
Kazakhstan,281,11950047
Kazakhstan,,11995502
Kazakhstan,1077,12108285
Kazakhstan,0,12212130
Kazakhstan,0,12308454
Kazakhstan,0,12403279
Kazakhstan,0,12465884
Kazakhstan,691,12501794
Kazakhstan,0,12593633
Kazakhstan,0,12684463
Kazakhstan,0,12764970
Kazakhstan,0,12844958
Kazakhstan,0,12916105
Kazakhstan,0,12966142
Kazakhstan,608,12994074
Kazakhstan,0,13071632
Kazakhstan,0,13142460
Kazakhstan,0,13213887
Kazakhstan,0,13287776
Kazakhstan,0,13368189
Kazakhstan,0,13427908
Kazakhstan,472,13461216
Kazakhstan,0,13536123
Kazakhstan,0,13619117
Kazakhstan,0,13698195
Kazakhstan,0,13775754
Kazakhstan,0,13853000
Kazakhstan,0,13901899
Kazakhstan,362,13932708
Kazakhstan,42,14013701
Kazakhstan,0,14095115
Kazakhstan,0,14168795
Kazakhstan,0,14248164
Kazakhstan,0,14319567
Kazakhstan,0,14362693
Kazakhstan,272,14388682
Kazakhstan,39,14455968
Kazakhstan,46,14522412
Kazakhstan,39,14551618
Kazakhstan,43,14639156
Kazakhstan,0,14696554
Kazakhstan,0,14734747
Kazakhstan,127,14760444
Kazakhstan,36,14827554
Kazakhstan,35,14898507
Kazakhstan,39,14969562
Kazakhstan,35,15035724
Kazakhstan,0,15101387
Kazakhstan,0,15137851
Kazakhstan,95,15158233
Kazakhstan,53,15221541
Kazakhstan,28,15281564
Kazakhstan,41,15338460
Kazakhstan,36,15394361
Kazakhstan,0,15446184
Kazakhstan,0,15477640
Kazakhstan,86,15497251
Kazakhstan,34,15550804
Kazakhstan,30,15605426
Kazakhstan,29,15655946
Kazakhstan,28,15706525
Kazakhstan,0,15750164
Kazakhstan,0,15782394
Kazakhstan,72,15800433
Kazakhstan,25,15847503
Kazakhstan,26,15898336
Kazakhstan,37,15943769
Kazakhstan,25,15992721
Kazakhstan,0,16041199
Kazakhstan,0,16070232
Kazakhstan,67,16084460
Kazakhstan,34,16135144
Kazakhstan,32,16183146
Kazakhstan,33,16231814
Kazakhstan,32,16278843
Kazakhstan,0,16321561
Kazakhstan,0,16344892
Kazakhstan,70,16357164
Kazakhstan,18,16397514
Kazakhstan,26,16438843
Kazakhstan,26,16473574
Kazakhstan,24,16512957
Kazakhstan,0,16550257
Kazakhstan,0,16570835
Kazakhstan,56,16583080
Kazakhstan,30,16620755
Kazakhstan,19,16686219
Kazakhstan,14,16715042
Kazakhstan,0,16746560
Kazakhstan,0,16766179
Kazakhstan,53,16776906
Kazakhstan,27,16787821
Kazakhstan,11,16848567
Kazakhstan,15,16862524
Kazakhstan,24,16901396
Kazakhstan,0,16937209
Kazakhstan,0,16955745
Kazakhstan,53,16966213
Kazakhstan,10,16998423
Kazakhstan,14,17031922
Kazakhstan,13,17065227
Kazakhstan,20,17095350
Kazakhstan,0,17123916
Kazakhstan,0,17138045
Kazakhstan,44,17147214
Kazakhstan,15,17223811
Kazakhstan,10,17234303
Kazakhstan,0,17244165
Kazakhstan,0,17256476
Kazakhstan,21,17262783
Kazakhstan,18,17289323
Kazakhstan,8,17315975
Kazakhstan,15,17339001
Kazakhstan,0,17364009
Kazakhstan,0,17386961
Kazakhstan,0,17400137
Kazakhstan,30,17407217
Kazakhstan,9,17429286
Kazakhstan,12,17453484
Kazakhstan,0,17478389
Kazakhstan,0,17501273
Kazakhstan,0,17511994
Kazakhstan,0,17521399
Kazakhstan,0,17525330
Kazakhstan,45,17532487
Kazakhstan,11,17566051
Kazakhstan,2,17575249
Kazakhstan,2,17594455
